time,open,high,low,close,Volume,Volume MA,Histogram,MACD,Signal
2010-04-30T07:00:00Z,28784.4,28911.42,28450.279,28635.76,NaN,NaN,-111.46480171657848,107.71373073026189,219.17853244684036
2010-05-03T07:00:00Z,28485.789,28660.17,28399.109,28630.82,NaN,NaN,-111.15708399403687,80.23217745429429,191.38926144833115
2010-05-04T07:00:00Z,28615.73,28741.01,27935.85,27935.85,NaN,NaN,-151.23339565268327,2.3475168824770662,153.58091253516034
2010-05-05T07:00:00Z,28045.289,28066.85,27458.801,27616.68,NaN,NaN,-190.19339851594822,-84.16083560977495,106.03256290617327
2010-05-06T07:00:00Z,27243.039,27758.939,27243.039,27512.83,NaN,NaN,-212.23666432370933,-159.2632674984634,52.973396825245935
2010-05-07T07:00:00Z,26954.439,27209.59,26379.18,26515.07,NaN,NaN,-279.08482023251867,-295.8826284654024,-16.79780823288373
2010-05-10T07:00:00Z,27229.471,27695.84,27229.471,27661.609,NaN,NaN,-233.03127898270097,-308.08690696125996,-75.05562797855899
2010-05-11T07:00:00Z,27510.42,27604.75,27345.939,27513.98,NaN,NaN,-200.6869968807854,-325.9143740795407,-125.22737719875533
2010-05-12T07:00:00Z,27658.91,28178.23,27578.891,28178.23,NaN,NaN,-126.3613261911446,-283.1790349376861,-156.81770874654148
2010-05-13T07:00:00Z,28275.189,28338.77,27921.551,28041.85,NaN,NaN,-80.42514208394533,-257.34913635147313,-176.9239942675278
2010-05-14T07:00:00Z,27895.641,27915.26,27284.039,27342.35,NaN,NaN,-90.44468652957207,-289.9798524294929,-199.53516589992083
2010-05-17T07:00:00Z,27008.68,27424.789,26882.619,27306.74,NaN,NaN,-92.4369059455667,-315.0812983318792,-222.64439238631252
2010-05-18T07:00:00Z,27405.59,27617.439,27302.391,27573.83,NaN,NaN,-69.76502887002357,-309.850678473842,-240.0856496038184
2010-05-19T07:00:00Z,27295.279,27362.711,26935.561,27175.039,NaN,NaN,-75.15863238409747,-334.03394008394025,-258.8753076998428
2010-05-20T07:00:00Z,27129.289,27240.961,26195.199,26337.51,NaN,NaN,-125.68832626611766,-415.98571553248985,-290.2973892663722
2010-05-21T07:00:00Z,26447.779,26554.891,25833.891,26258.211,NaN,NaN,-153.18466075356991,-481.7782152083346,-328.59355445476467
2010-05-24T07:00:00Z,26548.16,26802.801,26424.461,26777.789,NaN,NaN,-126.23465863140007,-486.3868777440148,-360.1522191126147
2010-05-25T07:00:00Z,26141.961,26236.58,25961.34,26179.84,NaN,NaN,-137.60175923865052,-532.1544181609279,-394.5526589222774
