Date,Close
2010-01-04,5569.74
2010-01-05,5569.74
2010-01-06,5572.34
2010-01-07,5578.52
2010-01-08,5578.52
2010-01-11,5572.41
2010-01-12,5572.41
2010-01-13,5575
2010-01-14,5465.35
2010-01-15,5473.46
2010-01-18,5467.34
2010-01-19,5467.09
2010-01-20,5467.09
2010-01-21,5476.25
2010-01-22,5476.25
2010-01-25,5590.91
2010-01-26,5594.99
2010-01-27,5590.25
2010-01-28,5618
2010-01-29,5625.42
2010-02-01,5647.7
2010-02-02,5641.21
2010-02-03,5644
2010-02-04,5648.91
2010-02-05,5648.91
2010-02-08,5652.69
2010-02-09,5677.54
2010-02-10,5592.7
2010-02-11,5626.78
2010-02-12,5613.25
2010-02-15,5623.26
2010-02-16,5629.78
2010-02-17,5633.62
2010-02-18,5634.34
2010-02-19,5639.37
2010-02-22,5643.71
2010-02-23,5640.56
2010-02-24,5644.37
2010-02-25,5654.88
2010-02-26,5541.15
2010-03-01,5558.14
2010-03-02,5595.18
2010-03-03,5704.54
2010-03-04,5708.01
2010-03-05,5838.65
2010-03-09,5747.02
2010-03-10,5773.77
2010-03-11,5780.08
2010-03-12,5780.08
2010-03-15,5788.59
2010-03-16,5796.82
2010-03-17,5816.57
2010-03-18,5834.89
2010-03-19,5826.05
2010-03-22,5841.71
2010-03-23,5840.85
2010-03-24,5847.71
2010-03-25,5860.16
2010-03-26,5881.79
2010-03-29,5889.34
2010-03-30,6027.28
2010-03-31,6014.34
2010-04-01,6041.18
2010-04-06,6041.18
2010-04-07,6277.62
2010-04-08,6116.77
2010-04-09,6128.94
2010-04-12,6133.32
2010-04-13,6155.03
2010-04-14,6166.89
2010-04-15,6182.03
2010-04-16,6163.87
2010-04-19,6163.09
2010-04-20,6176.87
2010-04-21,6207.26
2010-04-22,6243.64
2010-04-23,6449.38
2010-04-26,6457.38
2010-04-27,6469.36
2010-04-28,6462.41
2010-04-29,6493.29
2010-04-30,6518.88
2010-05-04,6568.61
2010-05-05,6709.68
2010-05-06,6833.61
2010-05-07,6851.96
2010-05-10,6869.26
2010-05-11,7007.38
2010-05-12,7028.61
2010-05-13,7064.81
2010-05-14,7085.78
2010-05-17,7072.71
2010-05-18,7037.66
2010-05-19,6995.61
2010-05-20,7083.577
2010-05-21,7114.51
2010-05-24,7134.3
2010-05-26,7143.73
2010-05-27,7070.8
2010-05-28,7130.15
2010-05-31,7172.08
2010-06-01,7185.05
2010-06-02,7093.02
2010-06-03,7095.5
2010-06-04,6997.25
2010-06-07,6967.92
2010-06-08,6801.78
2010-06-09,6647.69
2010-06-10,6635.17
2010-06-11,6598.97
2010-06-14,6513.45
2010-06-15,6476.54
2010-06-16,6433.91
2010-06-17,6530.15
2010-06-18,6616.2
2010-06-21,6780.87
2010-06-22,6709.76
2010-06-23,6705.5
2010-06-24,6709.13
2010-06-25,6600.59
2010-06-28,6595.11
2010-06-29,6591.16
2010-06-30,6591.101
2010-07-02,6591.101
2010-07-05,6558.68
2010-07-06,6545.5
2010-07-07,6528.28
2010-07-08,6445.07
2010-07-09,6522.01
2010-07-12,6413.78
2010-07-13,6279
2010-07-14,6167.95
2010-07-15,6173.1
2010-07-16,6291.68
2010-07-19,6289.24
2010-07-20,6265.33
2010-07-21,6260.6
2010-07-22,6245.77
2010-07-23,6246.91
2010-07-26,6287.71
2010-07-27,6366.21
2010-07-28,6386.52
2010-07-29,6388.59
2010-07-30,6394.02
2010-08-02,6290.73
2010-08-03,6281.84
2010-08-04,6296.11
2010-08-05,6243.26
2010-08-06,6254.03
2010-08-09,6255.44
2010-08-10,6265.32
2010-08-11,6389.98
2010-08-12,6385.97
2010-08-13,6427.77
2010-08-16,6455.23
2010-08-17,6454.01
2010-08-18,6497.1
2010-08-19,6628.41
2010-08-20,6650.56
2010-08-23,6548.39
2010-08-24,6656.82
2010-08-25,6676.41
2010-08-26,6575.76
2010-08-27,6788.41
2010-08-30,6795.71
2010-08-31,6821.8
2010-09-01,6737.75
2010-09-02,6767.65
2010-09-03,6665.36
2010-09-06,6734.72
2010-09-07,6791.69
2010-09-08,6779.26
2010-09-09,6779.26
2010-09-13,6759.12
2010-09-14,6782.48
2010-09-15,6680.18
2010-09-16,6780.82
2010-09-17,6793.86
2010-09-20,6810.67
2010-09-22,6807.57
2010-09-23,6844.01
2010-09-24,6668.72
2010-09-27,6651.81
2010-09-28,6653.57
2010-09-29,6781.43
2010-09-30,6835.71
2010-10-01,6947.69
2010-10-04,6799.37
2010-10-05,6811.31
2010-10-06,6817.87
2010-10-07,6695.22
2010-10-08,6690.1
2010-10-11,6831.78
2010-10-12,6871.91
2010-10-13,6862.74
2010-10-14,6756.37
2010-10-15,6730.9
2010-10-18,6734.16
2010-10-19,6864.69
2010-10-20,6862.27
2010-10-21,6865.85
2010-10-22,6755.46
2010-10-25,6759.08
2010-10-26,6756.37
2010-10-27,6876.55
2010-10-28,6820.04
2010-10-29,6886.3
2010-11-01,6744.65
2010-11-02,6752.74
2010-11-03,6896.52
2010-11-04,6907.62
2010-11-05,6914.81
2010-11-08,6779.06
2010-11-09,6900.34
2010-11-10,6807.39
2010-11-11,6818.69
2010-11-12,6806.13
2010-11-15,6808.32
2010-11-17,6823.82
2010-11-18,6949.69
2010-11-19,7003.2
2010-11-22,6994.57
2010-11-23,7023.54
2010-11-24,7021.37
2010-11-25,6936.67
2010-11-26,6948.06
2010-11-29,7058.01
2010-11-30,7101.23
2010-12-01,7090.89
2010-12-02,6990.5
2010-12-06,6976.1
2010-12-07,7082.84
2010-12-08,7122.96
2010-12-09,7136.19
2010-12-10,7238.03
2010-12-13,7196.01
2010-12-14,7116.29
2010-12-15,7078.57
2010-12-16,7281.71
2010-12-17,7287.23
2010-12-20,7218.65
2010-12-21,7186.51
2010-12-22,7176.4
2010-12-23,7175.39
2010-12-24,7155.3
2010-12-29,7200.81
2010-12-30,7223.77
2010-12-31,7369.21
2011-01-04,992.25
2011-01-05,991.08
2011-01-06,993.89
2011-01-07,995.5
2011-01-17,997.75
2011-01-18,1001.24
2011-01-19,1004.8
2011-01-20,1007.72
2011-01-21,1016.5
2011-01-24,1019.52
2011-01-25,1022.35
2011-01-26,1024.19
2011-01-27,1044.9
2011-01-28,1052.98
2011-01-31,1057.14
2011-02-01,1049.66
2011-02-02,1051.25
2011-02-03,1059.28
2011-02-04,1059.38
2011-02-07,1050.35
2011-02-08,1049.11
2011-02-09,1052.14
2011-02-10,1056.02
2011-02-11,1057.1
2011-02-14,1054.56
2011-02-15,1052.62
2011-02-16,1049.64
2011-02-17,1048.78
2011-02-18,1052.06
2011-02-21,1044.4
2011-02-22,1044.58
2011-02-23,1042.35
2011-02-24,1045.74
2011-02-25,1045.5
2011-02-28,1051.83
2011-03-01,1049.63
2011-03-02,1041
2011-03-03,1040.51
2011-03-04,1054.11
2011-03-08,1058.81
2011-03-09,1059.89
2011-03-10,1053.1
2011-03-11,1051.8
2011-03-14,1062.89
2011-03-15,1066.23
2011-03-16,1070.78
2011-03-17,1077.57
2011-03-18,1077.57
2011-03-21,1064.83
2011-03-22,1065.46
2011-03-23,1074.12
2011-03-24,1057.68
2011-03-25,1058.92
2011-03-28,1069.01
2011-03-29,1069.02
2011-03-30,1059.07
2011-03-31,1071.5
2011-04-01,1067.91
2011-04-04,1068.2
2011-04-05,1063.51
2011-04-06,1063.05
2011-04-07,1064.16
2011-04-08,1064.02
2011-04-11,1050.07
2011-04-12,1053.15
2011-04-13,1046.08
2011-04-14,1058.88
2011-04-15,1061.9
2011-04-18,1063.54
2011-04-19,1075.96
2011-04-20,1074.13
2011-04-21,1082.02
2011-04-26,1089.83
2011-04-27,1090.76
2011-04-28,1098.88
2011-04-29,1100.38
2011-05-03,1114.85
2011-05-04,1139.63
2011-05-05,1141.15
2011-05-06,1147.54
2011-05-09,1160.49
2011-05-10,1151.7
2011-05-11,1151.07
2011-05-12,1151.98
2011-05-13,1155.6
2011-05-16,1167.99
2011-05-17,1176.24
2011-05-18,1189.77
2011-05-19,1178.53
2011-05-20,1178.6
2011-05-23,1179.62
2011-05-24,1178.94
2011-05-26,1168.8
2011-05-27,1162.67
2011-05-30,1162.73
2011-05-31,1162.78
2011-06-01,1162.91
2011-06-02,1163.15
2011-06-03,1165.84
2011-06-06,1168.85
2011-06-07,1170.53
2011-06-08,1169.27
2011-06-09,1170.159
2011-06-10,1178.87
2011-06-13,1181.19
2011-06-14,1174.89
2011-06-15,1175.89
2011-06-16,1175.3
2011-06-17,1180.17
2011-06-20,1179.09
2011-06-21,1188.23
2011-06-22,1186.57
2011-06-23,1185.75
2011-06-24,1178.99
2011-06-27,1179.39
2011-06-28,1179.05
2011-06-29,1181.1
2011-06-30,1188.91
2011-07-04,1187.56
2011-07-05,1186.93
2011-07-06,1187.13
2011-07-07,1186.25
2011-07-08,1185.5
2011-07-11,1182.77
2011-07-12,1182.39
2011-07-13,1181.37
2011-07-14,1175.04
2011-07-15,1174.09
2011-07-18,1176.58
2011-07-19,1177.34
2011-07-20,1176.37
2011-07-21,1183.06
2011-07-22,1178.15
2011-07-25,1186.72
2011-07-26,1177.89
2011-07-27,1180.56
2011-07-28,1166.24
2011-07-29,1170.85
2011-08-01,1170.28
2011-08-02,1172.91
2011-08-03,1172.91
2011-08-04,1176.25
2011-08-05,1185.34
2011-08-08,1176.17
2011-08-09,1182.05
2011-08-10,1174.82
2011-08-11,1176.44
2011-08-12,1175.88
2011-08-15,1176.1
2011-08-16,1178.26
2011-08-17,1178.4
2011-08-18,1177.89
2011-08-19,1185.08
2011-08-24,1163.46
2011-08-25,1160.95
2011-08-26,1160.7
2011-08-29,1143.04
2011-08-30,1145.12
2011-09-01,1137.13
2011-09-02,1125.36
2011-09-05,1131.7
2011-09-06,1128.26
2011-09-07,1128.56
2011-09-08,1127.6
2011-09-09,1117.61
2011-09-12,1105.74
2011-09-13,1114.07
2011-09-14,1114.11
2011-09-15,1118.68
2011-09-16,1114.56
2011-09-19,1110.98
2011-09-20,1109.93
2011-09-22,1114.51
2011-09-23,1108.15
2011-09-26,1099.18
2011-09-27,1093.43
2011-09-28,1086.23
2011-09-29,1077.05
2011-09-30,1098.38
2011-10-03,1095.87
2011-10-04,1066.62
2011-10-05,1040.74
2011-10-06,1022.81
2011-10-07,1014.15
2011-10-10,1010.68
2011-10-11,1000.3
2011-10-12,1000.3
2011-10-13,1000.3
2011-10-14,995.49
2011-10-17,992.12
2011-10-18,997.31
2011-10-19,998.63
2011-10-20,995.73
2011-10-21,995.89
2011-10-24,998.3
2011-10-25,999.23
2011-10-26,1007.71
2011-10-27,1006.69
2011-10-28,1003.51
2011-10-31,1007.86
2011-11-01,1003.54
2011-11-02,1006.39
2011-11-03,1010.31
2011-11-04,1010.68
2011-11-08,1008.43
2011-11-09,1007.91
2011-11-10,998.28
2011-11-11,997.42
2011-11-14,995.47
2011-11-15,994.02
2011-11-16,992.92
2011-11-17,989.32
2011-11-18,989.61
2011-11-21,989.25
2011-11-22,984.76
2011-11-23,985.04
2011-11-24,982.87
2011-11-25,982.17
2011-11-28,983.62
2011-11-29,985.83
2011-11-30,987.26
2011-12-01,985.35
2011-12-05,985.94
2011-12-06,978.85
2011-12-07,975.45
2011-12-08,975.38
2011-12-09,972.5
2011-12-12,964.59
2011-12-13,964.14
2011-12-14,964.2
2011-12-15,964.21
2011-12-16,940.04
2011-12-19,940.14
2011-12-20,940.62
2011-12-21,941.11
2011-12-22,966.4
2011-12-23,967.01
2011-12-28,967.01
2011-12-29,970.03
2011-12-30,969.03
2012-01-03,969.25
2012-01-04,969.24
2012-01-05,968.08
2012-01-06,980.27
2012-01-09,978.48
2012-01-10,970.71
2012-01-11,975.42
2012-01-12,975.15
2012-01-13,974.63
2012-01-16,969.66
2012-01-17,970.81
2012-01-18,970.35
2012-01-19,971.33
2012-01-20,976.97
2012-01-23,977.87
2012-01-24,974.43
2012-01-25,969.73
2012-01-26,974.48
2012-01-27,973.01
2012-01-30,974.1
2012-01-31,974.53
2012-02-01,981.65
2012-02-02,978.15
2012-02-03,980.14
2012-02-06,979.73
2012-02-07,991.69
2012-02-08,993.8
2012-02-09,994.34
2012-02-10,995.69
2012-02-13,994.51
2012-02-14,996.99
2012-02-15,998.45
2012-02-16,998.46
2012-02-17,1006.44
2012-02-20,1008.07
2012-02-21,1009.89
2012-02-22,1009.51
2012-02-23,1010.33
2012-02-24,1011.36
2012-02-27,1010.25
2012-02-28,1015.61
2012-02-29,1016.47
2012-03-01,1028.11
2012-03-02,1030.76
2012-03-05,1026.84
2012-03-07,1027.28
2012-03-08,1028.69
2012-03-09,1029.39
2012-03-12,1031.12
2012-03-13,1029.02
2012-03-14,1028.22
2012-03-15,1035.68
2012-03-16,1032.99
2012-03-19,1039.61
2012-03-20,1040.84
2012-03-21,1038.58
2012-03-22,1038
2012-03-23,1039.11
2012-03-26,1038.67
2012-03-27,1040.06
2012-03-28,1045.51
2012-03-29,1045.55
2012-03-30,1046.88
2012-04-02,1048.72
2012-04-03,1055.57
2012-04-04,1055.25
2012-04-05,1060.45
2012-04-10,1060.31
2012-04-11,1060.31
2012-04-12,1059.82
2012-04-13,1061.21
2012-04-16,1061.21
2012-04-17,1060.69
2012-04-18,1056.41
2012-04-19,1049.82
